x0         x1       x2.       error 
 
 2   4    9.0   0.5555555555555556
 
 4   9.0    5.111111111111111   0.7608695652173915
 
 9.0   5.111111111111111    5.538461538461538   0.07716049382716055
 
 5.111111111111111   5.538461538461538    5.760925449871466   0.03861600247142425
 
 5.538461538461538   5.760925449871466    5.741121014276812   0.003449576405967482
 
 5.760925449871466   5.741121014276812    5.741656009168621   9.317780287684578e-05
 
 5.741121014276812   5.741656009168621    5.7416573868726895   2.399488467061125e-07
 
 5.741656009168621   5.7416573868726895    5.741657386773942   1.71984620555256e-11
 
 5.7416573868726895   5.741657386773942    5.741657386773941   1.5469025054439292e-16
 
 5.741657386773942   5.741657386773941    5.741657386773942   1.546902505443929e-16
 
 
