x0         x1       x2.     error    
 
 4   9    5.111111111111111   0.7608695652173915
 
 5.111111111111111   9    5.538461538461538   0.625
 
 5.538461538461538   9    5.678832116788321   0.5848329048843188
 
 5.678832116788321   9    5.722488038277512   0.572742474916388
 
 5.722488038277512   9    5.735832217759929   0.5690835537575852
 
 5.735832217759929   9    5.739889438463777   0.5679744525547443
 
 5.739889438463777   9    5.741121014276813   0.567638093260728
 
 5.741121014276813   9    5.74149467700076   0.5675360696670396
 
 5.74149467700076   9    5.741608030124472   0.5675051227425724
 
 5.741608030124472   9    5.741642415004932   0.5674957354501619
 
 
