x0         x1       x2.       error 
 
 4   2    9.0   0.7777777777777778
 
 2   9.0    4.0   1.25
 
 9.0   4.0    5.111111111111111   0.21739130434782603
 
 4.0   5.111111111111111    5.9565217391304355   0.14193025141930268
 
 5.111111111111111   5.9565217391304355    5.722488038277512   0.04089719354369648
 
 5.9565217391304355   5.722488038277512    5.741121014276812   0.0032455292185906617
 
 5.722488038277512   5.741121014276812    5.7416587643797685   9.365762143377603e-05
 
 5.741121014276812   5.7416587643797685    5.741657386675193   2.399489350424991e-07
 
 5.7416587643797685   5.741657386675193    5.741657386773942   1.7198616745776145e-11
 
 5.741657386675193   5.741657386773942    5.741657386773941   1.5469025054439292e-16
 
 
